;dep22;dep29;dep35;dep56;dist_min
1;672461.503599801;750893.83953556;576242.629535301;649229.255640378;576242.629535301
2;485280.90528777;575631.413341846;411478.25067133;505247.084953928;411478.25067133
3;509468.784791579;584786.921444057;413776.914153371;482175.345345681;413776.914153371
4;850038.626422006;917983.809033094;756312.124881805;814190.819471315;756312.124881805
5;814814.022466529;886264.747398168;719870.260094089;782626.619043921;719870.260094089
6;916941.860384883;986507.780822746;822533.130882583;882727.547774882;822533.130882583
7;691964.329038724;757832.046755351;599445.075211408;654100.052716089;599445.075211408
8;562976.563340306;653433.47449944;487366.644023633;581251.779666024;487366.644023633
9;701832.773824986;735310.685549782;631918.687732456;643527.258424792;631918.687732456
10;519604.543432133;608760.292815299;430288.456234407;520937.79923417;430288.456234407
11;721399.966381531;763144.099753672;644551.522614223;666839.544850248;644551.522614223
12;628759.901944238;681631.574041042;544353.906570816;580524.749159945;544353.906570816
13;820798.579397065;880802.4543769;730978.550385006;777930.753840106;730978.550385006
14;197749.644243812;287359.910006986;140992.749763637;228346.167739847;140992.749763637
15;565893.995590566;625796.711035166;477239.562368268;522757.734712893;477239.562368268
16;381891.434945414;429924.962626655;305172.286698188;329943.572323912;305172.286698188
17;339331.529150345;377072.156343744;274219.267896528;281644.76616023;274219.267896528
18;428949.678654518;508698.839240265;332717.126163515;408365.098357541;332717.126163515
19;497748.412229993;555807.044776605;410882.021191453;453062.714946777;410882.021191453
21;580385.68996346;665996.766160898;486066.02209821;570498.554766926;486066.02209821
22;NA;90648.490276288;96232.6443570566;66271.0862223034;66271.0862223034
23;452068.015876057;519368.725275889;359814.971059558;415577.892312247;359814.971059558
24;461909.919865144;507696.687206312;385143.264409055;408935.639998954;385143.264409055
25;703917.317716666;789503.750177714;609602.42983312;693591.250137003;609602.42983312
26;742825.016279008;810986.00958525;649172.157080512;707189.762188783;649172.157080512
27;292940.050446429;383417.555179616;221228.034748216;314345.289329869;221228.034748216
28;312904.008150796;402082.60066143;224376.474102817;316495.638700085;224376.474102817
29;90648.490276288;NA;180060.28213917;103796.261907087;90648.490276288
30;733937.966079102;792929.015175422;644985.07888909;690223.017297296;644985.07888909
31;646267.920553615;680011.965175817;576782.74746776;587969.359309558;576782.74746776
32;587212.477756457;616662.874385476;522397.862766077;527161.285808713;522397.862766077
33;438850.11324561;466324.328713124;379562.769518967;377667.08356123;377667.08356123
34;724129.338337001;775628.469238368;640046.283607162;675116.611128896;640046.283607162
35;96232.6443570566;180060.28213917;NA;93892.9109572248;93892.9109572248
36;381113.904031169;454619.296478877;286310.874366101;351765.765956929;286310.874366101
37;296399.478397075;372603.14652047;200997.602094278;271124.876551819;200997.602094278
38;732755.209738571;806166.587644198;637317.231472262;702847.119452684;637317.231472262
39;670089.143479017;752884.730841708;574376.655489394;654047.13867375;574376.655489394
40;523245.709781654;540827.850411147;470984.312835267;459602.281582986;459602.281582986
41;332405.823555806;415419.243985509;236576.012533445;318385.559465156;236576.012533445
42;612085.256719266;684752.494136288;516990.684379408;581373.151939596;516990.684379408
43;627752.373396692;694071.964702207;535200.60709067;590304.652175899;535200.60709067
44;149064.993558398;204193.451080806;88222.1862220527;100591.393247029;88222.1862220527
45;391027.422122473;477671.074093323;297626.232114595;384896.512818675;297626.232114595
46;545369.501686206;593681.220841658;465181.306891929;494093.379418413;465181.306891929
47;520172.756663411;555415.133868683;451425.009705139;462189.377789461;451425.009705139
48;654382.610185104;714074.072253702;565354.325590426;611157.337373811;565354.325590426
49;207985.080160415;279028.06385689;117339.826981911;176438.753946517;117339.826981911
50;133343.398796913;220497.644589203;105548.126453426;175661.823273919;105548.126453426
51;524801.470059327;615315.62989811;441854.216233029;535120.64699934;441854.216233029
52;600236.406273026;688948.450431306;509794.283721844;599335.771915297;509794.283721844
